172.21.0.1 - - [17/Dec/2022:00:13:32 +0000] "GET /solr/final_authors/select?_=1671212379568&debug=results&fl=author,id&hl=true&hl.fl=*&hl.fragsize=100&hl.highlightMultiTerm=false&hl.method=fastVector&hl.requireFieldMatch=false&hl.simple.post=%3C%2Fb%3E&hl.simple.pre=%3Cb%3E&hl.snippets=1&hl.usePhraseHighLighter=true&indent=true&q=topolog+AND+game&q.op=OR&rows=13&useParams= HTTP/1.1" 200 684
172.21.0.1 - - [17/Dec/2022:00:13:44 +0000] "GET /solr/admin/cores?_=1671212379519&indexInfo=false&wt=json HTTP/1.1" 200 390
172.21.0.1 - - [17/Dec/2022:00:13:44 +0000] "GET /solr/final_authors/config/params?_=1671212379568&wt=json HTTP/1.1" 200 89
172.21.0.1 - - [17/Dec/2022:00:13:44 +0000] "GET /solr/admin/info/system?_=1671212379519&wt=json HTTP/1.1" 200 1367
172.21.0.1 - - [17/Dec/2022:00:13:44 +0000] "GET /solr/final_authors/select?_=1671212379568&debug=results&fl=author,id&hl=true&hl.fl=*&hl.fragsize=100&hl.highlightMultiTerm=false&hl.method=fastVector&hl.requireFieldMatch=false&hl.simple.post=%3C%2Fb%3E&hl.simple.pre=%3Cb%3E&hl.snippets=1&hl.usePhraseHighLighter=true&indent=true&q=game+AND+game&q.op=OR&rows=13&useParams= HTTP/1.1" 200 1531
172.21.0.1 - - [17/Dec/2022:00:13:58 +0000] "GET /solr/admin/cores?_=1671212379519&indexInfo=false&wt=json HTTP/1.1" 200 390
172.21.0.1 - - [17/Dec/2022:00:13:58 +0000] "GET /solr/final_authors/config/params?_=1671212379568&wt=json HTTP/1.1" 200 89
172.21.0.1 - - [17/Dec/2022:00:13:58 +0000] "GET /solr/final_authors/select?_=1671212379568&debug=results&fl=author,id&hl=true&hl.fl=*&hl.fragsize=100&hl.highlightMultiTerm=false&hl.method=fastVector&hl.requireFieldMatch=false&hl.simple.post=%3C%2Fb%3E&hl.simple.pre=%3Cb%3E&hl.snippets=1&hl.usePhraseHighLighter=true&indent=true&q=game+AND+blockchain&q.op=OR&rows=13&useParams= HTTP/1.1" 200 973
172.21.0.1 - - [17/Dec/2022:00:13:58 +0000] "GET /solr/admin/info/system?_=1671212379519&wt=json HTTP/1.1" 200 1376
172.21.0.1 - - [17/Dec/2022:00:14:08 +0000] "GET /solr/final_authors/config/params?_=1671212379568&wt=json HTTP/1.1" 200 89
172.21.0.1 - - [17/Dec/2022:00:14:08 +0000] "GET /solr/admin/cores?_=1671212379519&indexInfo=false&wt=json HTTP/1.1" 200 390
172.21.0.1 - - [17/Dec/2022:00:14:08 +0000] "GET /solr/admin/info/system?_=1671212379519&wt=json HTTP/1.1" 200 1376
172.21.0.1 - - [17/Dec/2022:00:14:08 +0000] "GET /solr/final_authors/select?_=1671212379568&debug=results&fl=author,id&hl=true&hl.fl=*&hl.fragsize=100&hl.highlightMultiTerm=false&hl.method=fastVector&hl.requireFieldMatch=false&hl.simple.post=%3C%2Fb%3E&hl.simple.pre=%3Cb%3E&hl.snippets=1&hl.usePhraseHighLighter=true&indent=true&q=game+OR+blockchain&q.op=OR&rows=13&useParams= HTTP/1.1" 200 1755
172.21.0.1 - - [17/Dec/2022:00:14:49 +0000] "GET /solr/final_authors/config/params?_=1671212379568&wt=json HTTP/1.1" 200 89
172.21.0.1 - - [17/Dec/2022:00:14:49 +0000] "GET /solr/admin/cores?_=1671212379519&indexInfo=false&wt=json HTTP/1.1" 200 390
